IDpassageiro,Nome,Deck,NumeroCabine,PosicaoCabine,Procedencia,Destino,Idade,VIP,AllInclusive,ServicoCabine,Restaurante,Shopping,SPA,ParquedeAguas,Sobrevivente
6443_05,Kimena Cartyernan,F,1229,S,Europa,Grecia,16.0,0,0,45.0,0.0,622.0,0.0,564.0,0
1439_01,Lios Lette,F,279,S,Africa,Grecia,41.0,0,0,112.0,186.0,228.0,760.0,0.0,0
6994_02,Alwaide Bagetvable,B,267,S,America,Grecia,20.0,0,0,0.0,275.0,1690.0,580.0,5499.0,0
6262_01,Jetax Pane,F,1293,P,Africa,Grecia,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9186_01,Mass Homin,F,1878,P,Africa,Grecia,2.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8363_01,Shail Crelaxle,A,101,S,America,Monaco,25.0,0,0,0.0,1673.0,0.0,642.0,612.0,0
3735_01,Zedarga Reeddommy,D,119,S,America,Grecia,43.0,0,0,2.0,3846.0,0.0,3.0,346.0,1
2986_01,Swaffs Dutty,E,197,S,Africa,Grecia,15.0,0,0,5711.0,0.0,2516.0,0.0,1370.0,0
1687_01,Bases Batte,F,334,P,Africa,Grecia,26.0,1,0,714.0,450.0,208.0,0.0,44.0,0
1918_03,Hallux Assibler,A,23,S,America,Grecia,38.0,0,0,34.0,2043.0,0.0,1339.0,0.0,1
7693_01,Cherrak Roftfuling,B,252,P,America,Grecia,36.0,0,0,0.0,2979.0,0.0,68.0,347.0,1
6241_01,Claine Russelloyd,F,1198,S,Europa,Outros,33.0,0,0,6.0,0.0,0.0,0.0,950.0,0
4216_01,Rotan Dratembid,B,134,P,America,Grecia,65.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5346_01,Tera Kaney,E,334,P,Europa,Grecia,21.0,0,0,37.0,0.0,31.0,696.0,63.0,1
4451_01,Poloos Jamad,F,914,P,Outros,Grecia,35.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6826_01,Elle Harrenoldez,G,1109,S,Europa,Grecia,49.0,0,0,0.0,69.0,92.0,1600.0,15.0,0
0436_02,Lilace Hodes,G,63,S,Europa,Malta,56.0,0,0,46.0,11.0,0.0,622.0,0.0,0
2892_02,Benry Gallenry,G,469,P,Europa,Monaco,12.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4774_02,Gers Creke,F,972,P,Africa,Grecia,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5280_01,Elanda Simpsonks,F,1015,S,Europa,Grecia,18.0,0,0,0.0,0.0,2728.0,0.0,0.0,1
0523_01,Helley Joyneidez,E,33,S,Europa,Grecia,35.0,0,0,553.0,213.0,1733.0,0.0,6.0,1
7458_01,Fayey Vincenton,G,1211,S,Europa,Grecia,64.0,0,1,0.0,0.0,0.0,0.0,0.0,0
2652_01,Wally Davispinoz,F,513,S,Europa,Grecia,22.0,0,0,0.0,0.0,670.0,0.0,32.0,1
5266_02,Sinon Poselfle,C,205,S,America,Monaco,36.0,1,0,13.0,196.0,3.0,0.0,12323.0,0
8270_01,Doakes Hart,F,1702,P,Africa,Grecia,38.0,0,0,86.0,1144.0,783.0,0.0,0.0,1
8459_01,Dorice Morandry,G,1355,S,Europa,Malta,43.0,0,1,0.0,0.0,0.0,0.0,0.0,0
3195_04,Ralda Litthews,G,505,S,Europa,Malta,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0086_01,Jodye Kinson,F,17,P,Europa,Grecia,43.0,0,0,211.0,0.0,0.0,638.0,513.0,0
6330_01,Scotty Avidson,G,1027,S,Europa,Malta,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5061_02,Mediton Patoetic,C,196,S,America,Grecia,54.0,0,0,0.0,8246.0,0.0,56.0,118.0,1
3293_01,Wings Part,F,623,S,Africa,Grecia,20.0,0,0,915.0,12.0,25.0,205.0,311.0,1
1767_01,Hekaron Gleroling,C,65,S,America,Monaco,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4390_01,Jayrin Vloaf,F,903,P,Africa,Grecia,8.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6787_01,Iney Booneid,F,1411,P,Europa,Grecia,9.0,0,0,0.0,0.0,0.0,0.0,0.0,1
7360_01,Chery Joycerton,G,1194,S,Europa,Monaco,29.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8239_01,Marily Garnes,F,1579,S,Europa,Monaco,21.0,0,0,499.0,0.0,193.0,1.0,1.0,0
5688_01,Isaacy Newtontoss,F,1084,S,Europa,Grecia,20.0,0,0,12.0,177.0,1110.0,0.0,0.0,1
4433_01,Eriney Guerson,G,729,P,Europa,Malta,21.0,0,1,0.0,0.0,0.0,0.0,0.0,0
7864_01,Elly Potterry,F,1506,S,Europa,Monaco,37.0,0,0,19.0,443.0,1769.0,0.0,3.0,1
3732_01,Sheleon Scoudelle,A,43,S,America,Monaco,5.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1294_02,Chamak Plegred,A,14,S,America,Malta,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4803_01,Evaned Foxter,F,977,P,Europa,Grecia,55.0,0,0,1028.0,18.0,0.0,0.0,0.0,0
7594_01,Minonus Supiensive,C,282,S,America,Monaco,49.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3576_01,Ela Brenney,F,742,P,Europa,Grecia,22.0,0,0,0.0,4.0,0.0,0.0,1267.0,1
7437_02,Kraban Disgul,B,279,S,America,Grecia,47.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2310_01,Alaron Holiabler,D,68,P,America,Monaco,60.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4303_01,Adamy Dayers,F,803,S,Europa,Monaco,15.0,0,0,36.0,841.0,0.0,0.0,0.0,1
9181_01,Chelsa Gilesonston,F,1775,S,Europa,Grecia,35.0,0,0,270.0,4.0,453.0,7.0,0.0,1
7538_01,Achira Uncionted,A,81,P,America,Grecia,48.0,1,0,313.0,2864.0,0.0,0.0,12424.0,0
5571_01,Delley Nichoan,G,900,S,Europa,Monaco,26.0,0,0,0.0,406.0,0.0,0.0,503.0,1
3353_06,Hamelik Reming,C,125,S,America,Grecia,45.0,0,0,0.0,1897.0,0.0,880.0,605.0,1
4792_01,Stace Drakeekss,G,782,S,Europa,Grecia,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5269_01,Mollen Ewisentley,E,336,S,Europa,Grecia,21.0,0,0,38.0,1.0,591.0,1.0,31.0,1
4345_01,Lelah Sancockett,G,717,P,Europa,Grecia,28.0,0,0,0.0,1125.0,3.0,562.0,7.0,0
3391_01,Misaleh Ennalve,B,105,P,America,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1110_02,Batomam Ennalve,C,42,S,America,Monaco,26.0,0,0,8.0,6138.0,0.0,3.0,754.0,1
4104_01,Ritany Gallard,G,675,P,Europa,Grecia,41.0,0,0,1025.0,0.0,0.0,0.0,0.0,0
5186_01,Monah Harry,F,1058,P,Europa,Grecia,21.0,0,0,41.0,651.0,2.0,29.0,0.0,0
3971_01,Joanry Brighttt,G,651,P,Europa,Grecia,44.0,0,0,39.0,821.0,0.0,7.0,41.0,0
1180_01,Reneen Irwines,F,225,S,Europa,Grecia,19.0,0,0,0.0,0.0,957.0,4.0,0.0,0
1709_01,Jurbet Minen,F,326,S,Africa,Grecia,23.0,0,0,31.0,0.0,1247.0,0.0,47.0,0
5877_01,Tyle Carsoning,F,1121,S,Europa,Grecia,17.0,0,0,0.0,0.0,1552.0,0.0,0.0,0
0163_02,Scharab Hetforhaft,B,8,P,America,Grecia,17.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7830_01,Briane Belley,G,1268,S,Europa,Malta,23.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4017_05,Hog Gene,F,761,S,Africa,Grecia,23.0,0,0,931.0,0.0,134.0,0.0,421.0,0
3382_02,Molley Rossey,G,553,P,Europa,Grecia,56.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3665_01,Rickie Hendrewsons,G,595,S,Europa,Monaco,29.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4096_01,Stote Vicke,F,842,P,Africa,Grecia,46.0,0,0,949.0,0.0,128.0,3.0,41.0,1
4186_01,Clard Dickley,G,685,S,Europa,Monaco,17.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6055_02,Achiram Prefule,C,185,P,America,Grecia,41.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1975_01,Jeandy Hobbinson,G,310,S,Europa,Grecia,22.0,0,0,0.0,0.0,0.0,10.0,761.0,0
8989_04,Minon Invebodene,B,291,P,America,Monaco,29.0,0,0,80.0,3707.0,0.0,1465.0,1320.0,0
4019_01,Jimen Lerez,E,245,P,Europa,Monaco,59.0,0,0,258.0,377.0,5.0,0.0,0.0,1
4883_01,Darley Carrishley,G,788,P,Outros,Grecia,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5385_01,Hon Cako,D,170,P,Africa,Grecia,31.0,0,0,2048.0,0.0,1040.0,136.0,0.0,0
3774_03,Dorah Willy,F,778,P,Europa,Grecia,35.0,0,0,227.0,117.0,394.0,9.0,56.0,0
4037_01,Luisy Gardsondez,G,663,S,Europa,Malta,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5097_01,Hughan Peterstarks,G,823,P,Europa,Monaco,7.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6282_01,Berbee Gelle,F,1205,S,Africa,Grecia,28.0,0,0,158.0,0.0,0.0,465.0,0.0,0
2075_01,Janne Yatters,F,402,S,Europa,Monaco,29.0,0,0,270.0,0.0,0.0,25.0,343.0,0
0045_02,Mass Chmad,F,10,P,Africa,Outros,19.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5355_02,Verly Deckley,G,865,P,Europa,Grecia,21.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6490_01,Errairk Ineded,C,201,P,America,Monaco,57.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5365_01,Pristy Whiters,E,337,P,Europa,Grecia,60.0,0,0,943.0,53.0,0.0,0.0,0.0,0
9158_01,Magnon Maglible,B,298,P,America,Monaco,30.0,1,1,0.0,0.0,0.0,0.0,0.0,1
2308_01,Plas Pringrous,D,77,S,America,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2470_01,Mollen Bookst,G,398,S,Europa,Grecia,23.0,0,0,139.0,0.0,0.0,567.0,0.0,0
8607_01,Lan Gainebergan,G,1387,S,Europa,Malta,21.0,0,0,0.0,2202.0,9.0,71.0,100.0,1
7005_01,Card Castron,F,1338,S,Europa,Monaco,16.0,0,0,0.0,17.0,1211.0,0.0,25.0,1
4359_02,Strali Sebleve,C,137,P,America,Monaco,40.0,0,0,0.0,17687.0,0.0,425.0,155.0,1
2809_01,Dianie Ellahan,G,453,P,Europa,Grecia,41.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2645_03,Mariton Improus,C,95,S,America,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2080_01,Henryn Joycerton,G,334,P,Europa,Grecia,46.0,0,0,430.0,0.0,340.0,52.0,61.0,0
2551_01,Marlly Gamberson,F,523,P,Europa,Grecia,32.0,0,0,238.0,156.0,3.0,2.0,324.0,0
2693_03,Castram Geousty,A,22,P,America,Grecia,55.0,0,0,0.0,846.0,0.0,263.0,2024.0,0
2666_02,All Curle,E,184,S,Africa,Monaco,18.0,0,0,1874.0,0.0,260.0,0.0,0.0,0
0540_01,Jell Conie,F,95,S,Africa,Grecia,31.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6052_01,Fayel Rushorney,G,980,P,Europa,Grecia,61.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5394_01,Coakey Nanie,D,172,P,Africa,Grecia,14.0,0,0,246.0,0.0,2153.0,0.0,0.0,1
